Song #,Song name,Likes,Knows,4/9
1,dont use this one,,,
2,踊 子,okay,don't know,a dancer
3,make you mine,like ,don't know,
4,homesick,okay,don't know,
5,军港之夜,okay,don't know,
6,I'm yours,like ,don't know,
7,sign of the times,don't like ,don't know,
8,nobody,like ,know,
9,the other side,like ,don't know,
10,homecoming,don't like ,don't know,
11,FLY HIGH!!!,like ,know,
12,fireflies,like ,know,
13,若梦,like ,know,
14,kiss me right,like ,don't know,
15,attention,like ,don't know,
16,when we are younger,like ,don't know,
17,shape of you ,like ,know,
18,how much is weed,okay ,don't know,
19,酒歌,okay ,don't know,
20,kiss me ,like ,don't know,
21,if you want to,okay,don't know,
