Song #,Song name,Likes,Knows
1,American Girls,no,no
2,Stateside,no,no
3,Choosin Texas,yes,no
4,Babydoll,no,no
5,Risk It All,yes,no
6,Taste Back,no,no
7,Coming Up Roses,ok,no
8,Ready Steady Go,no,no
